Rank,University,Town
1380,"Marian University, Wisconsin",Fond du Lac
1381,William Woods University,Fulton
1382,Dickinson State University,Dickinson
1383,Hebrew College,Newton Centre
1384,Erskine College,Due West
1385,Converse College,Spartanburg
1386,Lake Washington Institute of Technology,Kirkland
1387,Midland College,Midland
1388,LaGrange College,LaGrange
1389,University of the Ozarks,Clarksville
1390,"Hunter College, CUNY",New York City
1391,Vaughn College of Aeronautics and Technology,Flushing
1392,New York Academy of Art,New York City
1393,Freed-Hardeman University,Henderson
1394,Indiana University Kokomo,Kokomo
1395,William Penn University,Oskaloosa
1396,"Columbia College, South Carolina",Columbia
1397,Averett University,Danville
1398,Concordia University Ann Arbor,Ann Arbor
1399,Albany College of Pharmacy and Health Sciences,Albany
1400,Coker University,Hartsville
1401,East Texas Baptist University,Marshall
1402,Bryan College,Dayton
1403,Relay Graduate School of Education,New York City
1404,Western Nevada College,Carson City
1405,Bethany Lutheran College,Mankato
1406,Kansas Wesleyan University,Salina
1407,Milwaukee Institute of Art & Design,Milwaukee
1408,Columbia Basin College,Pasco
1409,Schreiner University,Kerrville
1410,Rochester Christian University,Rochester Hills
1411,Waldorf University,Forest City
1412,Paine College,Augusta
1413,Defiance College,Defiance
1414,Buffalo State University,Buffalo
1415,NewSchool of Architecture and Design,San Diego
1416,Siena Heights University,Adrian
1417,Mount Aloysius College,Cresson
1418,The University of Montana Western,Dillon
1419,Hope International University,Fullerton
1420,University of Maine at Presque Isle,Presque Isle
1421,University of Western States,Portland
1422,United States Sports Academy,Daphne
1423,Ohio Christian University,Circleville
1424,Northwestern Oklahoma State University,Alva
1425,North Central University,Minneapolis
1426,Howard Payne University,Brownwood
1427,Holy Family University,Philadelphia
1428,Ozark Christian College,Joplin
1429,Saint Elizabeth University,Morristown
1430,College of Our Lady of the Elms,Chicopee
1431,Philander Smith University,Little Rock
1432,University of Northwestern Ohio,Lima
1433,Cairn University,Langhorne
1434,Nebraska Methodist College,Omaha
1435,Culver-Stockton College,Canton
1436,College of Coastal Georgia,Brunswick
1437,Toccoa Falls College,Toccoa Falls
1438,Briar Cliff University,Sioux City
1439,The King's College,New York City
1440,University of Health Sciences and Pharmacy in St. Louis,St. Louis
1441,University of Mobile,Mobile
1442,Union Commonwealth University,Barbourville
1443,University of Mount Olive,Mount Olive
1444,Pensacola State College,Pensacola
1445,Dominican University New York,Orangeburg
1446,Southern College of Optometry,Memphis
1447,Franklin College,Franklin
1448,Pacifica Graduate Institute,Carpinteria
1449,Roseman University of Health Sciences,Henderson
1450,West Virginia University at Parkersburg,Parkersburg
1451,Maranatha Baptist University,Watertown
1452,Touro University California,Vallejo
1453,Missouri Baptist University,St. Louis
1454,Louisiana Christian University,Pineville
1455,University of Rio Grande,Rio Grande
1456,Corban University,Salem
1457,University of Silicon Valley,San Jose
1458,Clarkson College,Omaha
1459,Northwest Florida State College,Niceville
1460,University of Saint Mary,Leavenworth
1461,St Andrews University,Laurinburg
1462,Paul Quinn College,Dallas
1463,Southern Virginia University,Buena Vista
1464,Benjamin Franklin Cummings Institute of Technology,Boston
1465,Thiel College,Greenville
1466,Miles College,Fairfield
1467,The University of Olivet,Olivet
1468,Tabor College,Hillsboro
1469,Edward Waters University,Jacksonville
1470,Martin Luther College,New Ulm
1471,University of Providence,Great Falls
1472,Brescia University,Owensboro
1473,East Georgia State College,Swainsboro
1474,Multnomah University,Portland
1475,Cleary University,Howell
1476,La Roche University,Pittsburgh
1477,Chowan University,Murfreesboro
1478,Dunwoody College of Technology,Minneapolis
